ProdID,Name,Category,Brand,Description,Tags,ReviewCount,Rating
3406,"Cantu Mens Styling Pomade, 8 oz","personal, care, restock, save, hair, care, styling, treatment",cantu,"cantu, mens, collection, cream, pomade, provides, strong, hold, soft, touch, cantu, mens, collection, specifically, formulated, needs, men, wavy, curly, coarse, hair, sulfates, parabens, mineral, oils, cantu, mens, 8, oz, styling, pomade, anti, break, hemp, seed, oil, shea, butter, coconut, oil, lock, moisture, control, strong, hold, stiffness, residue, hydrate, shea, butter, deeply, moisturizes, hair, sulfates, parabens, mineral, oils","personal, care, restock, save, hair, care, styling, treatment, cantu, cantu, mens, collection, cream, pomade, provides, strong, hold, soft, touch, cantu, mens, collection, specifically, formulated, needs, men, wavy, curly, coarse, hair, sulfates, parabens, mineral, oils, cantu, mens, 8, oz, styling, pomade, anti, break, hemp, seed, oil, shea, butter, coconut, oil, lock, moisture, control, strong, hold, stiffness, residue, hydrate, shea, butter, deeply, moisturizes, hair, sulfates, parabens, mineral, oils",29.0,4.4
8423,"Banana Boat Burn Relief Soothing Aloe After Sun Gel, 8 Oz","personal, care, sun, care, sun, care","banana, boat","banana, boat, burn, relief, soothing, aloe, sun, gel, 8, oz, upc, 079656000078banana, boat, burn, relief, soothing, aloe, sun, gel, 8, oz","personal, care, sun, care, sun, care, banana, boat, banana, boat, burn, relief, soothing, aloe, sun, gel, 8, oz, upc, 079656000078banana, boat, burn, relief, soothing, aloe, sun, gel, 8, oz",0.0,0.0
58977539,Kerastase Resistance Fondant Extentioniste Conditioner - 6.8oz / 200ml,"premium, beauty, premium, hair, care, hair, tools, premium, conditioners",kerastase,,"premium, beauty, premium, hair, care, hair, tools, premium, conditioners, kerastase, ",2.0,5.0
1477,OUIDAD Water Works Clarifying Shampoo 8.5oz/250ml,"premium, beauty, premium, hair, care, hair, tools, premium, shampoos",ouidad,,"premium, beauty, premium, hair, care, hair, tools, premium, shampoos, ouidad, ",0.0,0.0
379830,3 Pack Gillette After Shave Gel Sensitive Skin 2.50 oz,"personal, care, shaving, men, shaving",gillette,"especially, sensitive, skin, lightly, scented, gel, instantly, cools, refreshes, shaved, skin, non, greasy, formulation, specifically, sensitive, skin, rub, shave, anytime, need, shot, long, lasting, pack, gillette, shave, gel, sensitive, skin, oz","personal, care, shaving, men, shaving, gillette, especially, sensitive, skin, lightly, scented, gel, instantly, cools, refreshes, shaved, skin, non, greasy, formulation, specifically, sensitive, skin, rub, shave, anytime, need, shot, long, lasting, pack, gillette, shave, gel, sensitive, skin, oz",0.0,0.0
8215,Gillette Venus Embrace Cartridges 4 Each,"personal, care, shaving, women, shaving",gillette,"pack, 2, upc, 047400098978, reveal, goddess, g, beautyuses, gets, virtually, hair, dramatically, smooth, skin, 5, curve, hugging, blades, individually, adjust, leave, skin, smooth, protective, ribbon, moisture, smooth, glide, showersafe, cartridges, sealed, stay, dry, shower, venus, cartridges, fit, venus, razor, handles","personal, care, shaving, women, shaving, gillette, pack, 2, upc, 047400098978, reveal, goddess, g, beautyuses, gets, virtually, hair, dramatically, smooth, skin, 5, curve, hugging, blades, individually, adjust, leave, skin, smooth, protective, ribbon, moisture, smooth, glide, showersafe, cartridges, sealed, stay, dry, shower, venus, cartridges, fit, venus, razor, handles",352.0,4.3
8008,"Always Radiant Pads with Wings, Scented","personal, care, feminine, care",,"radiant, pads, wings, scented, sold, 2, pack, 30, total, radiant, pads, wings, scented","personal, care, feminine, care, , radiant, pads, wings, scented, sold, 2, pack, 30, total, radiant, pads, wings, scented",2.0,2.0
427815263,"Deep Steep Lavender Chamomile Body Butter 8 Ounce, Pack of 2","personal, care, bath, body, body, lotions, creams","deep, steep","premium, beauty, oils, coconut, argan, shea, butter, cruelty, free, vegan, deep, steeps, body, butter, ticket, ultimate, hydration, specially, formulated, restore, moisture, skin, need, intensive, repair, suggested, use, apply, moisturizer, ingredients, aqua, helianthus, annuus, sunflower, seed, oil, caprylic, capric, triglyceride, cetearyl, alcohol, glyceryl, stearate, citrate, glycerin, organic, aloe, barbadensis, aloe, vera, leaf, juice, lavandula, angustifolia, lavender, flower, oil, lavandula, hybrida, lavandin, oil, butyrospermum, parkii, shea, butter, organic, argania, spinosa, argan, kernel, oil, organic, cocos, nucifera, coconut, oil, organic, theobroma, cacao, cocoa, seed, butter, anthemis, nobilis, chamomile, flower, oil, citrus, aurantium, dulcis, orange, peel, oil, cetearyl, glucoside, organic, rosmarinus, officinalis, rosemary, leaf, extract, cyamopsis, tetragonoloba, guar, gum, xanthan, gum, glyceryl, caprylate, caprylhydroxamic, acid, deep, steep, lavender, chamomile, body, butter, 8, ounce, pack, 2","personal, care, bath, body, body, lotions, creams, deep, steep, premium, beauty, oils, coconut, argan, shea, butter, cruelty, free, vegan, deep, steeps, body, butter, ticket, ultimate, hydration, specially, formulated, restore, moisture, skin, need, intensive, repair, suggested, use, apply, moisturizer, ingredients, aqua, helianthus, annuus, sunflower, seed, oil, caprylic, capric, triglyceride, cetearyl, alcohol, glyceryl, stearate, citrate, glycerin, organic, aloe, barbadensis, aloe, vera, leaf, juice, lavandula, angustifolia, lavender, flower, oil, lavandula, hybrida, lavandin, oil, butyrospermum, parkii, shea, butter, organic, argania, spinosa, argan, kernel, oil, organic, cocos, nucifera, coconut, oil, organic, theobroma, cacao, cocoa, seed, butter, anthemis, nobilis, chamomile, flower, oil, citrus, aurantium, dulcis, orange, peel, oil, cetearyl, glucoside, organic, rosmarinus, officinalis, rosemary, leaf, extract, cyamopsis, tetragonoloba, guar, gum, xanthan, gum, glyceryl, caprylate, caprylhydroxamic, acid, deep, steep, lavender, chamomile, body, butter, 8, ounce, pack, 2",0.0,0.0
1197,SuperStay 24Ã‚Â Liquid Lipstick,"beauty, makeup, lip, makeup, lipstick, liquid, lipstick",maybelline,"superstay, liquid, lipstick","beauty, makeup, lip, makeup, lipstick, liquid, lipstick, maybelline, superstay, liquid, lipstick",7.0,3.9
754,KEOMI NATURALS - Organic & All Natural Hand Therapy (Scented) 2oz - Purse Size,"personal, care, bath, body, hand, soaps","keomi, naturals","natural, organic, hand, therapy, men, womenour, super, rich, natural, hand, therapy, luxury, product, dry, environmentally, challenged, hands, skin, prefer, natural, organic, products, love, hand, cream, following, companys, conviction, introduce, natural, organic, skincare, products, compromise, hand, cream, initially, formulated, nurses, demanding, work, environment, carefully, crafted, finest, natural, ingredients, available, contains, harmful, chemicals, prevalent, commercially, available, products, marketplace, use, hand, therapy, pampering, luxury, truly, superior, hand, cream, 100, natural, vegan, enriched, shea, cocoa, butter, maximum, moisturizing, infused, organic, herbs, plant, extracts, fortified, multi, vitamins, anti, oxidants, scented, pre, aromathekeomi, naturals, organic, natural, hand, therapy, scented, 2, oz, purse, size","personal, care, bath, body, hand, soaps, keomi, naturals, natural, organic, hand, therapy, men, womenour, super, rich, natural, hand, therapy, luxury, product, dry, environmentally, challenged, hands, skin, prefer, natural, organic, products, love, hand, cream, following, companys, conviction, introduce, natural, organic, skincare, products, compromise, hand, cream, initially, formulated, nurses, demanding, work, environment, carefully, crafted, finest, natural, ingredients, available, contains, harmful, chemicals, prevalent, commercially, available, products, marketplace, use, hand, therapy, pampering, luxury, truly, superior, hand, cream, 100, natural, vegan, enriched, shea, cocoa, butter, maximum, moisturizing, infused, organic, herbs, plant, extracts, fortified, multi, vitamins, anti, oxidants, scented, pre, aromathekeomi, naturals, organic, natural, hand, therapy, scented, 2, oz, purse, size",0.0,0.0
